Title,Meaning,Context,Notes
OPC (CBC),Outpatient Clinic (Community-Based Clinic),,
OPCA,Office of Public and Consumer Affairs,,
OPCM,Outpatient Clinic (Mobile Outpatient Clinic),,
OPC(ORC),Outpatient Clinic (Outreach Clinic),,
OPC(ROC),Outpatient Clinic (Outpatient Clinic located at Veterans Benefit Regional Office),,
OPCS-4,"Office of Population, Censuses and Survey Classification of Surgical Operations and Procedures - 4th revision",,
OPC(SOC),Outpatient Clinic (Satellite Outpatient Clinic),,
OPD,Outpatient Department,,
OPECC,Outpatient Pharmacy Electronic Claims Coordinators,,
OPES,"Office of Productivity, Efficiency, and Staffing",,
OPF,Official Personnel Folder,,
OPHSR,Office of Public Health Surveillance & Research,,
OPIA,Office of Public and Intergovernmental Affairs,,
OPIM,Other Potentially Infectious Materials,,
OPM,Office of Personnel Management,,
OPOC,"Oakland Park Outpatient Clinic, Florida",,
OPO,Organ Procurement Organizations,,
O&P,Orthotics & Prosthetics,,
OP,Outpatient,,
OP,Outpatient Pharmacy,,
OP,Over Payment,,
OPPE,Ongoing Professional Practice Evaluation,,
OPP,Office of Planning and Programs,,
OPP,Office of Policy and Planning,,
OPP&P,"Office of Policy, Planning and Preparedness",,
OPPS,Outpatient Prospective Payment System,,
OPQM,Office of Performance and Quality Measures,,
OPT,Out Patient Treatment (Records),,
OPTR,Outpatient Treatment Record,,
OQL,Object Query Language,,
OQP,Office of Quality and Performance,,
ORB,Object Request Broker,,
ORCA,Office of Research Compliance and Assurance,,
ORC,"Outreach Clinic (outpatient clinic under the management of an MC but not physically located in an MC, less than 3,000 visits per year)",,
ORDMI,"Office of Resolution Management, Diversity & Inclusion",,
ORD,Office of Research and Development,,
ORD,Optional Requirements Document,,
ORH,Office of Rural Health,,
ORH,Operation Ranch Hand,,
ORM,Object-Relational Mapping,,
ORM,Office of Resolution Management,,
ORO,Office of Research Oversight,,
ORR,Operational Readiness Review,,
ORTHO,"Orthopedic (s), or Positional",,
ORTHOSTATIC(S),"Vital sign changes, possibly relating to or caused by positional changes or erect posture.",,
ORTHOSTATS,Pertaining to BP changes with position changes,,
ORT,Operational Readiness Testing,,
ORT,Outreach Reporting Tool,,
OSA,Obstructive Sleep Apnea,,
OSDBU,Office of Small and Disadvantaged Business Utilization,,
OSDEBU,Office of Small and Disadvantaged Business Utilization,,
OSD,Office of the Secretary of Defense,,
OSD,Operating System Deployment,,
OSEHRA,Open Source Electronic Health Record Alliance/Agent,,
OSE,Open Systems Environment,,
OSERA,Open Source E-Gov Reference Architecture,,
OSF,Open Systems Foundation,,
OSGLI,Office of Servicemembers Group Life Insurance,,
OSHA,Occupational Safety and Health Administration,,
OSHCA,Open Source Health Care Alliance,,
OSH,Outside hospital,,
OSI,Open Systems Interconnection,,
OSM,Open slot management,,
OS&LE,Office of Security and Law Enforcement,,
OSL,Operating Staff Level,,
OS,Oculus Sinister (left eye),,
OS,Open System,,
OS,Operating System,,
OSPA,Office of Strategic Planning and Analysis,,
OS&P,"Office of Operations, Security, and Preparedness",,
OSP,"Office of Operations, Security and Preparedness",,
OSP,Office of Strategic Planning,,
OSS,Open Source Software,,
OSTP,Office of Science and Technology Policy,,
OSVA,Office of the Secretary of Veterans Affairs,,
OTA,Office of Technology Assessment,,
OTA,Open To Air,,
OTA,Opioid Treatment Agreement,,
OTC,Over-The-Counter (herbals/non-VA meds),,
OT&E,Operation Test & Evaluation,,
OTJ,On The Job,,
OT,Occupational Therapist,,
OTP,One Time Password,,
OTP,Opioid Treatment Program,,
OTS,Off The Shelf,,
OUD,Opioid Use Disorder,,
OU,Oculus Uterque (both eyes),,
OU,Organizational Unit,,
OVAC,Office of Veteran Access to Care,,Now IVC
OVHC,Office of Veterans Health Communications,,
OVH,Ohio Veterans Home,,
OV,Operational View,,
OWAS,Overwhelmed With Acronym Stress,,
OWCP,Office of Workers' Compensation Programs,,
P2P,Peer-To-Peer,,
PaaS,Platform as a Service,,
PAB,Policy Advisory Board,,
PACE,Performance Analysis Center for Excellence,,
PACMEDNET,Pacific Medical Network,,
PAC,Premature Atrial Contraction,,
PACS,Physical Access Control System,,
PACS,Picture Archiving Communication Systems,,
PACT,Patient-Aligned Care Teams,,
PACT,Preservation-Amputation Care and Treatment,,
PACT,Psychosocial Assessment of Candidates for Transplantation,,
PACU,Patient Acute Care Unit,,
PACU,Post Anesthesia Care Unit,,
PADE,Pharmacy Automated Dispensing Equipment,,
PAD,Personnel and Accounting Integrated Data,,
PAD,Planning Analysis Document,,
PADP,Patient Assessment Document Package,,
PADRECC,"Parkinson's Disease Research, Education, and Clinical Centers",,
PAE,Pharmacy Application Environment,,
PAF,Patient Assessment File,,
PAHO,Pan American Health Organization,,
PAIC,Prosthetics Assessment Information Center,,
PAID,Personnel and Accounting Integrated Data System,,
PAI,Patient Assessment Instrument,,
PA&I,Performance Analysis & Integrity,,metrics reporting team
PAIRS,Procurement of Automation Information Resource Solutions,,
PAIT,Patient Appointment Information Transmission,,
PALT,Procurement Acquisition Lead Time,procurement,
PAL,VA Process Asset Library,,
PAO,Program Administration Office,,
PA,Physician Assistant,,
PA,Privacy Act,,
PA,Program Analyst,,
PAPR,Powered Air Purifying Respirator,,
PARMIN,Population and Resource Management Information Network,,
PAR,Performance and Accountability Report,,
PART,Program Assessment Rating Tool,,
PAS,Personnel Accountability System,,
PAS,Planning and Analysis Service,,
PAS,Program Application Specialist,,
PASS,Pull Aim Squeeze Sweep,,
PATS,Patient Advocate Tracking System,,
PATS,"Planning, Architecture, Technology and Services",,
PAVE,Prevention of Amputation in Veterans Everywhere,,
PAVIR,Palo Alto Veterans Institute for Research,,
PAVs,Price Adjustment Vouchers,,
PB,Petabyte,,
PBC,Provided by Client,,
PBI,Performance Base Interview,,
PBI,Power BI Reporting Tool,,
PBM,Pharmacy Benefits Management,,
PBM,Policy Based Management,,
PBMS,Performance-based Management System,,
PBO,PMAS Business Office,,
PBP,Performance Based Payments,,
PBRN,Practice-Based Research Networks,,
PBS,Personal Benefit Services,,
PBX,Private Branch Exchange,,
PCAC,Program Contracting Activity-Central,,
PCAOB,Public Company Accounting Oversight Board,,
PCA,Patient-Controlled Analgesia,,
PCA,Primary Care Annex,,
PCAS,Patient Care Administrative Service,,
PCAS,Patient Care Assessment System,,
PCCN,Progressive Care Certified Nurse,,
PCC,Patient Care Component,,
PCC,Patient Care Coordinator,,
PCC,Patient Centered Care,,
PCC,Policy Coordinating Committee (Agent Orange-VA),,
PCC,Polytrauma Call Center,,
PCD,Privacy Communications Data,,
PCE,Patient Care Encounter,,
PCE,Primary Care Encounter,,
PCGL,Personal Computer Generated Letter,,
PCGL,Personal Computer Guided Letters,VBMS old letter generating system,
PCHS,Procurement for Computer Hardware and Software,,
PCI DSS,Payment Card Industry Data Security Standard,,
PCIOL IN GOOD ORDER,Posterior Chamber Intraocular Lens In Good Order,,
PCI,Percutaneous Coronary Intervention,,
PCI,PIV Card Issuance,,
PCIU,Personal Contact Information (Update). via EVSS service.,,
PCL PMO,Prosthetics and Clinical Logistics Program Management Office,,
PC-MHI,Primary Care - Mental Health Integration,,
PCMHI,Primary Care Mental Health Integration,,
PCMH,Patient Centered Medical Home,,
PCMM,Primary Care Management Module,,
PCM,Plexis Claims Manager,,
PCM,Polytrauma Case Manager,,
PCN,Patient Control Number,,
PCN,Processor Control Number,,
PCO,Procuring Contracting Officer,,
PCO,Publications Control Officer,,
PCORI,Patient-Centered Outcomes Research Institute,,
PCOS,Public Contact and Outreach Specialist,,
P&C,Pension & Compensation,,
PC,Personal Computer,,
PC,Policy Council,,
PCP,Primary Care Provider,,
P&C,Purchasing and Contacting,,
PCR,Public Contact Representatives,,
PCS,Patient Care Services,,
PCSW,Primary Care Social Worker,,
PCTOC,Primary Care Telehealth Outreach Clinic,,
PCT,PTSD Clinical Team,,
PDA,Personal Digital Assistant,,
PDA,Project Decision Authority,,
PDAS I&T,Principal Deputy Assistant Secretary for Information & Technology,,
PDAS,Principal Deputy Assistant Secretary,,
PDAT,Position Designation System and Automated Tool,,
PDD,Patient Desired Date,,
PDD,Presidential Decision Directive,,
PDF,Portable Document Format,,
PDHRA,Post-Deployment Health Reassessment,,
PDI,Personnel Daily Interface,,
PDI,Phosphodiesterase Inhibitor,,
PDI,Program Document Identifier,,
PDLC,Program Development Life Cycle,,
PDL,Personnel Distribution List,,
PDM,Pharmacy Data Management,,
PD,Police Department,,
PD,Position Description,,
PD,Preferred Date,,
PD,Product Development (replaces OED),,
PD,Public Domain,,
PDQ,Physician's Data Query,,
PDRECC,"Parkinson's Disease Research, Education, and Clinical Center",,
PDR,Preliminary Design Review,,
PDSA,"Plan, Do, Study, Act",,
PDTS,Pharmacy Data Transaction System (DoD Pharm System),,
PDUSB,Principal Deputy Under Secretary for Benefits,,
PDUSH,Principal Deputy Under Secretary of Health,,
PDWS,Patient Discovery Web Service,,
PDX,Patient Data Exchange,,
PEBKAC,Problem Exists Between Keyboard And Chair,,
PEBLO,Physical Evaluation Board Liaison Officer,,
PEB,Physical Evaluation Board,,
PEC,Pre-Existing Condition,,
PEC,Preventive Ethics Coordinator,,
PEC,Psychiatric Emergency Clinic,,
PECS,Pharmacy Enterprise Customization System,,
PEMS,Patient Education Management System,,
PENTAD,VA medical center executive leadership,,"Normally consists of Director, Associate Director, Assistant Director, Chief of Staff, and Executive Nurse Manager"
PEO,Program Executive Office,,
PEP,Project Execution Plan,,
PE,Preventive Ethics,,
PE,Prolonged Exposure Therapy,,
PEPS,Pharmacy Enterprise Product System,,
PE,Pulmonary Embolism,,
PERC,Patient Education Resource Center,,
PERC,Program Evaluation Resource Center,,
PERRL,Pupils equal round and reactive to light,,
PERT,Program Evaluation Review Technique,,
PES,Psychiatric Emergency Service,,
PET,Position Electron Transformation,,
PET,Positron Emission Tomography,,
P&F,Pension & Fiduciary,,
PF,Performance Factor,,
PFSS,Patient Financial Services System,,
PGD,"paged, as in paged MD",,
PGD,Patient-Generated Data,,
PGD,Program Director,,
PGEC,Palliative and Geriatrics and Extended Care,,
PGHD,Patient-Generated Health Data,,
PGM,Program Manager,,
PGY,Post Graduate Year,,
PHA,Public Housing Authority,,
PHCA,Preventive Health Care Application,,
PHF,Patient History File,,
PHIN,Public Health Information Network,,
PHI,Personal Health Identifiers,,
PHI,Protected Health Information,,
PHIS,Pharmacy Hospital Information System,,
PHP,Partial Hospitalization Program,,
PHP,Personalized Health Plan,,
PHR,Personal Health Record,,
PHRSS,Payroll and Human Resource Systems Service,,
PHS,Public Health Service,,
PHST,Public Health Surveillance & Research,,
PIA,Primary Insurance Amount,,
PIA,Privacy Impact Assessment,,
PIB,Performance Improvement Board,,
PICC,Peripherally Inserted Central Catheter,,
PICD,Property Inventory Control Division,,
PIC,Performance Improvement Counsel,,
PIC,Personal Information Carrier,,
PICS,Patient Image Capture Software,,
PICU,Patient Intensive Care Unit,,
PICU,Pediatric intensive care unit,,
PID,Patient Identification,,
PID,Process Identification,,
PIDS,Person Identification Service,,
PIE,Personal Information Exchange,,
PIES,Personnel Information Exchange System/Service,claims processing,
PIF,Pending Issue File,,
PIF,Presidential Innovation Fellows,,
PIFS,Presidential Innovation Fellows,,
PIHCP,Pacific Island Health Care Project,,
PIICS,VBA Program Integrity & Internal Controls,,
PII,Patient Information Integration,,
PII,Personally Identifiable Information,,
PIMS,Patient Information Management System,,
PIN,Personal Identification Number,,
PIO,Process Improvement Opportunity,,
PI,Partner Integration,,
PIP,Productivity Improvement Program,,
PIP,Prosthetics Inventory Package,,
PI,Prevention Index,,
PI,Program Increment,Planning period used in Scaled Agile Framework,
PIR,Post Implementation Review,,
PIR,Project Initiation Request,,
PITC,Philadelphia Information Technology Center,,
PIT,Postgraduate and In-service Training,,
PIT,Program Integrity Tool,,
PIUC,Patient Information Unspecified Content,,
PIVMATE,Personal Identity Verification Multi Authentication Technical Enforcement (PIVMATE),,
PIV,Personal Identity Verification,,
PJM,Project Manager,,
PKI,Public Key Infrastructure,,
PLAN,Plain Language Action Network,,
PLCP,Paperless Claim,,
PLE,Pharmacy Legacy Enhancement,,
PLM,Product Line Management,,
P&LMS,Pathology and Laboratory Medicine Service,,
PLMS,Pathology and Laboratory Medicine Service,,
P&LO,Procurement and Logistics Office,,
PLOU,Portfolio Loan Oversight Unit,,
PL,Poet Laureate,,
PL,Policy Letter,,
PL,Public Law,,
PLQE,Pharmacy Legacy Quarterly Enhancements,,
PLTIB,Planning and Long-Term Issues Board,,
PM PAR,"Program Management Policy, Assessment, and Reporting",,
PMAC,Project Management Advisory Committee,,
PMAP,Pain Management Assessment Project,,
PMAS,Project Management Accountability System,VA dept,
PMAT,Program Management Accountability Tool,,
PMB,Performance Measurement Baseline,,
PMB,Postmenopausal bleeding,,
PMCMS,Paper Mail Conversion and Management Service,VBA,
PMC,Pension Management Center,,
PMC,Presidential Memorial Certification,NCA,
PMDB,Prevention & Management of Disruptive Behavior,,
PMDD,Premenstrual Dysphoric Disorder,,
PMD,Privacy Management Data,,
PMEF,Primary Mission Essential Function,,
PMF,Presidential Management Fellow,,
PMHX,Prior or previous medical history,,
PMI,Patient Medication Information,,
PMIP,Practice Management Implementation Plan,,
PMI,Preventive Maintenance Inspection,,
PMI,Project Management Data,,
PMI,Project Management Institute,,
PMIS,Project Management Information System,,
PMO,Portfolio Management Office,,
PMO,Program Management Office,,
PMOU,Property Management Oversight Unit,,
PMP,Project Management Plan,,
PMP,Project Management Professional,,
PM,Preventative Maintenance,,
PM,Program Manager,,
PM,Project Manager,,
PMRF,Performance Measure Reporting Foundation,,
PMRF,Performance Measurement Reporting Platform,,
PM&R,Physical Medicine and Rehabilitation,,
PMR,Private Medical Records,,
PM&R,Productivity Measurement and Reporting,,
PMR,Program Management Review,,
PMRS,Patient Movement Request System,,
PMSC,Project Management Steering Committee,,
PMS,Project Management Service,,
PMSR,Process Model Summary Report,,
PNA,Pneumonia,,
PNB,Prostate needle biopsy,,
PNC,Penicillin,,
PNCS,Progress Note Construction Set,,
PND,Post Nasal Drip,,
PNM,Price Negotiation Memorandum,,
PN,Progress Notes,,
PNS,Polytrauma Network Sites,,
PO2,Pulse Oxygen,,
POAG,Primary open-angle glaucoma,,
POAM,Plan of Action and Milestones,,
